Motif Number,C11,C21,C31,C41,C12,C22,C32,C42,C13,C23,C33,C43,C14,C24,C34,C44,x_o,y1_o,y2_o,z_o,T,T1,min_alpha,max_alpha,min_kappa,max_kappa,basal_e,t_duration,n_sampling,max_s,eta_t3
1,0,-1,-1,-1,-1,0,1,-1,-1,1,0,-1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
2,0,-1,-1,-1,-1,0,1,-1,-1,1,0,-1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
3,0,-1,-1,-1,-1,0,1,-1,-1,1,0,0,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
4,0,-1,-1,-1,-1,0,1,-1,-1,1,0,0,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
5,0,-1,-1,-1,-1,0,1,-1,-1,1,0,0,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
6,0,-1,-1,-1,-1,0,1,-1,-1,1,0,1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
7,0,-1,-1,-1,-1,0,1,-1,-1,1,0,1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
8,0,-1,-1,-1,-1,0,1,-1,-1,1,0,1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
9,0,-1,-1,-1,-1,0,1,-1,0,1,0,-1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
10,0,-1,-1,-1,-1,0,1,-1,0,1,0,-1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
11,0,-1,-1,-1,-1,0,1,-1,0,1,0,-1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
12,0,-1,-1,-1,-1,0,1,-1,0,1,0,0,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
13,0,-1,-1,-1,-1,0,1,-1,0,1,0,0,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
14,0,-1,-1,-1,-1,0,1,-1,0,1,0,0,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
15,0,-1,-1,-1,-1,0,1,-1,0,1,0,1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
16,0,-1,-1,-1,-1,0,1,-1,0,1,0,1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
17,0,-1,-1,-1,-1,0,1,-1,0,1,0,1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
18,0,-1,-1,-1,-1,0,1,-1,1,1,0,-1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
19,0,-1,-1,-1,-1,0,1,-1,1,1,0,-1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
20,0,-1,-1,-1,-1,0,1,-1,1,1,0,-1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
21,0,-1,-1,-1,-1,0,1,-1,1,1,0,0,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
22,0,-1,-1,-1,-1,0,1,-1,1,1,0,0,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
23,0,-1,-1,-1,-1,0,1,-1,1,1,0,0,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
24,0,-1,-1,-1,-1,0,1,-1,1,1,0,1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
25,0,-1,-1,-1,-1,0,1,-1,1,1,0,1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
26,0,-1,-1,-1,-1,0,1,-1,1,1,0,1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
27,0,-1,-1,-1,-1,0,1,0,-1,1,0,0,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
28,0,-1,-1,-1,-1,0,1,0,-1,1,0,0,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
29,0,-1,-1,-1,-1,0,1,0,-1,1,0,1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
30,0,-1,-1,-1,-1,0,1,0,-1,1,0,1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
31,0,-1,-1,-1,-1,0,1,0,-1,1,0,1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
32,0,-1,-1,-1,-1,0,1,0,0,1,0,-1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
33,0,-1,-1,-1,-1,0,1,0,0,1,0,-1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
34,0,-1,-1,-1,-1,0,1,0,0,1,0,-1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
35,0,-1,-1,-1,-1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
36,0,-1,-1,-1,-1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
37,0,-1,-1,-1,-1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
38,0,-1,-1,-1,-1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
39,0,-1,-1,-1,-1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
40,0,-1,-1,-1,-1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
41,0,-1,-1,-1,-1,0,1,0,1,1,0,-1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
42,0,-1,-1,-1,-1,0,1,0,1,1,0,-1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
43,0,-1,-1,-1,-1,0,1,0,1,1,0,-1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
44,0,-1,-1,-1,-1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
45,0,-1,-1,-1,-1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
46,0,-1,-1,-1,-1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
47,0,-1,-1,-1,-1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
48,0,-1,-1,-1,-1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
49,0,-1,-1,-1,-1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
50,0,-1,-1,-1,-1,0,1,1,-1,1,0,1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
51,0,-1,-1,-1,-1,0,1,1,-1,1,0,1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
52,0,-1,-1,-1,-1,0,1,1,0,1,0,-1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
53,0,-1,-1,-1,-1,0,1,1,0,1,0,-1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
54,0,-1,-1,-1,-1,0,1,1,0,1,0,-1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
55,0,-1,-1,-1,-1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
56,0,-1,-1,-1,-1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
57,0,-1,-1,-1,-1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
58,0,-1,-1,-1,-1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
59,0,-1,-1,-1,-1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
60,0,-1,-1,-1,-1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
61,0,-1,-1,-1,-1,0,1,1,1,1,0,-1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
62,0,-1,-1,-1,-1,0,1,1,1,1,0,-1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
63,0,-1,-1,-1,-1,0,1,1,1,1,0,-1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
64,0,-1,-1,-1,-1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
65,0,-1,-1,-1,-1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
66,0,-1,-1,-1,-1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
67,0,-1,-1,-1,-1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
68,0,-1,-1,-1,-1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
69,0,-1,-1,-1,-1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
70,0,-1,-1,-1,0,0,1,-1,0,1,0,-1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
71,0,-1,-1,-1,0,0,1,-1,0,1,0,-1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
72,0,-1,-1,-1,0,0,1,-1,0,1,0,0,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
73,0,-1,-1,-1,0,0,1,-1,0,1,0,0,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
74,0,-1,-1,-1,0,0,1,-1,0,1,0,0,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
75,0,-1,-1,-1,0,0,1,-1,0,1,0,1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
76,0,-1,-1,-1,0,0,1,-1,0,1,0,1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
77,0,-1,-1,-1,0,0,1,-1,0,1,0,1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
78,0,-1,-1,-1,0,0,1,-1,1,1,0,-1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
79,0,-1,-1,-1,0,0,1,-1,1,1,0,-1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
80,0,-1,-1,-1,0,0,1,-1,1,1,0,-1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
81,0,-1,-1,-1,0,0,1,-1,1,1,0,0,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
82,0,-1,-1,-1,0,0,1,-1,1,1,0,0,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
83,0,-1,-1,-1,0,0,1,-1,1,1,0,0,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
84,0,-1,-1,-1,0,0,1,-1,1,1,0,1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
85,0,-1,-1,-1,0,0,1,-1,1,1,0,1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
86,0,-1,-1,-1,0,0,1,-1,1,1,0,1,1,1,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
87,0,-1,-1,-1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
88,0,-1,-1,-1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,10000,2000,0.1,10,0.001,100,0.025,2,10000,1,0.005
